timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
4557,-0.6690,-2.2912,7.6445,14.2800,-18.5500,10.8500
4577,-0.6812,-2.2956,7.6826,16.5200,-22.0500,8.8200
4597,-0.6666,-2.2775,7.6743,16.1000,-21.0000,9.1700
4617,-0.6364,-2.2790,7.6523,17.4300,-20.8600,9.4500
4637,-0.6393,-2.2736,7.6699,16.1700,-18.3400,9.8700
4657,-0.6949,-2.3195,7.5416,12.2500,-21.1400,8.1200
4677,-0.6637,-2.2653,7.6811,16.3800,-18.6900,9.8000
4697,-0.6510,-2.2614,7.6660,15.8900,-20.0900,8.8900
4717,-0.6373,-2.2775,7.6509,18.2700,-18.6200,10.7100
4737,-0.6417,-2.2692,7.6474,15.2600,-18.0600,11.3400
4757,-0.6734,-2.2785,7.6821,13.0900,-20.5800,10.0800
4777,-0.6256,-2.2809,7.6514,8.7500,-20.2300,10.3600
4797,-0.6427,-2.2775,7.6387,8.0500,-20.8600,9.4500
4817,-0.6559,-2.2868,7.6811,8.8900,-16.9400,11.2700
4837,-0.6710,-2.3356,7.7041,12.8100,-20.0900,9.7300
4857,-0.6651,-2.2975,7.6592,13.3700,-23.3800,7.7000
4877,-0.6281,-2.2716,7.6582,13.3000,-23.8000,8.6100
4897,-0.6271,-2.2482,7.6367,12.6700,-19.8800,10.3600
4917,-0.6525,-2.2819,7.6831,11.7600,-21.7700,9.5900
4937,-0.6676,-2.2565,7.6596,13.3000,-18.4100,11.0600
4957,-0.6442,-2.2926,7.7241,9.5900,-21.3500,9.8000
4977,-0.6378,-2.2809,7.5913,10.6400,-22.2600,8.5400
4997,-0.6407,-2.2858,7.6572,8.2600,-20.5800,10.2900
