timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
2476,0.3426,-0.0264,-0.0102,2023.5601,319.6900,-199.8500
2496,-0.2050,0.9267,-2.3844,1951.7400,395.6400,-264.3200
2516,-1.3566,1.0180,-1.3093,1791.5800,492.7300,-363.9300
2536,-2.4502,2.6274,-2.6991,1734.6700,606.8300,-342.7900
2556,-3.2271,3.0144,-3.1510,1620.7100,626.6400,-336.3500
2576,-3.7849,3.9352,-3.9611,1515.1500,630.7700,-284.9000
2596,-4.2002,4.5150,-4.6536,1372.1400,659.5400,-221.6900
2616,-4.0011,4.5052,-4.6770,1208.4800,616.0700,-217.3500
2636,-4.2812,4.8595,-4.8424,1132.6700,531.6500,-252.4900
2656,-5.0069,5.3582,-5.5203,1079.1200,463.4000,-273.6300
2676,-5.8443,6.1756,-6.1844,1035.2300,331.2400,-259.7700
2696,-6.6070,7.0106,-7.4113,946.1900,229.5300,-214.2000
2716,-7.1131,8.0154,-8.0315,785.2600,132.2300,-133.0000
2736,-6.9013,8.2574,-8.4761,606.9700,26.8800,-61.3200
2756,-6.4201,8.3272,-8.7957,408.4500,-74.7600,-25.3400
2776,-5.8623,8.4858,-8.8025,199.0800,-170.2400,1.4700
2796,-5.4266,8.1667,-8.6366,-16.5200,-242.6900,-13.7200
2816,-5.6003,8.5932,-8.5420,-241.2200,-288.6100,7.1400
2836,-5.1069,8.1169,-9.1027,-536.4100,-337.9600,-10.0800
2856,-4.7048,7.7055,-7.4547,-545.1600,-300.4400,77.0000
2876,-4.4686,6.9574,-6.6436,-645.4000,-291.0600,42.2100
2896,-4.9630,6.9813,-6.2015,-801.0800,-332.2900,91.9800
2916,-4.8078,6.6144,-5.4856,-894.6700,-330.7500,128.5200
2936,-4.6560,6.0517,-4.7902,-1026.1300,-461.5800,90.6500
2956,-4.1338,5.9429,-4.7878,-1135.4700,-509.3900,101.7100
2976,-3.8044,5.4602,-4.5428,-1257.2000,-522.0600,123.6200
2996,-3.3404,5.1557,-4.0406,-1368.9200,-580.5800,131.6000
3016,-2.9280,4.6428,-3.7947,-1468.3199,-643.2300,131.3900
3036,-2.2907,3.5985,-2.9807,-1550.1500,-663.6000,135.3800
3056,-1.7080,2.6186,-2.0555,-1597.3300,-699.8600,103.5300
3076,-1.1219,2.2477,-2.3605,-1687.0699,-739.6200,64.8200
3096,-0.8286,1.8095,-2.2560,-1849.3300,-740.3900,23.9400
3116,-0.5710,0.4831,-0.7300,-1957.2000,-634.9700,67.9700
3136,-0.2020,-0.7354,1.3967,-1992.3400,-639.9400,51.5200
3156,0.1059,-1.6938,3.6332,-1873.2000,-702.6600,21.5600
3176,0.2908,-2.5239,6.0556,-1721.3700,-839.2300,-45.0100
3196,0.0551,-2.8607,5.2953,-1598.3800,-951.2300,-80.8500
3216,0.2006,-2.6230,6.6539,-1488.9700,-864.5000,-4.0600
3236,0.4616,-3.6380,8.0344,-1308.0200,-796.1100,30.4500
3256,0.4148,-3.0617,7.9241,-1264.5500,-727.5100,7.2800
3276,0.2201,-3.2188,8.9426,-1288.1400,-712.9500,13.3000
3296,-0.0273,-3.3794,9.2252,-1247.4700,-750.1200,48.7900
3316,0.2747,-3.1549,8.7757,-1221.1500,-622.0200,116.1300
3336,0.2996,-3.5795,10.2426,-1218.2800,-407.6100,234.9200
3356,0.0112,-4.0260,10.1743,-1129.0300,-404.2500,260.4700
3376,0.5129,-4.0284,10.6462,-1106.8400,-324.8700,381.7800
3396,0.9667,-4.8971,11.7681,-1081.0800,-410.7600,273.0000
3416,1.0102,-4.8136,11.5529,-1006.6700,-334.4600,233.9400
3436,0.7354,-4.8619,11.4129,-953.6100,-294.9100,142.1700
3456,0.6554,-4.0133,9.9698,-966.0700,-266.4200,78.5400
3476,0.5539,-3.5551,7.4742,-1004.7100,-182.2100,59.5000
3496,0.1698,-3.5829,5.6491,-1129.6600,-12.1100,79.8700
3516,-3.6010,-9.5018,15.9888,202.7900,-1173.3400,-74.9700
3536,2.0350,-10.3300,15.9888,332.2900,-231.2100,334.2500
3556,1.9222,-1.7397,7.1268,-160.6500,-2.1700,92.4000
3576,-0.2377,-2.4771,2.8372,-404.5300,557.4100,-136.3600
3596,-2.5210,-1.8344,4.7897,-432.3200,496.8600,34.3000
3616,-1.9603,-2.2272,5.2201,-361.2700,-139.8600,92.1900
3636,-0.7935,-2.6215,6.7110,-246.1200,-699.6500,11.3400
3656,0.9906,-3.5770,6.6441,54.2500,-559.5800,26.9500
3676,0.4939,-2.7094,9.2525,205.4500,-172.5500,40.1800
3696,0.4675,-2.8636,9.5302,153.7200,-165.0600,16.2400
3716,0.2176,-2.2150,7.8100,21.7700,-71.1200,1.2600
3736,-0.6271,-2.3239,7.2531,-93.3100,-28.1400,9.7300
3756,-0.3567,-2.7333,7.4571,-136.2900,-75.1800,15.7500
3776,0.5129,-3.2823,7.6118,-119.1400,-69.3700,-0.2800
3796,0.3118,-3.0539,7.5289,-76.5100,-12.3200,3.9900
3816,-0.2133,-2.8475,7.1897,-24.1500,-21.0700,15.8900
3836,-0.1274,-2.8709,7.2946,24.0100,-62.1600,-3.7100
3856,-0.0342,-2.5805,7.3693,29.8200,-77.4200,1.1900
3876,0.0659,-2.7650,7.8373,10.2200,-58.5900,17.3600
3896,0.2596,-2.8699,7.7602,-14.4900,-38.2200,22.1900
3916,0.1357,-2.8768,7.4474,-28.2800,-18.6200,26.5300
3936,-0.0244,-2.9031,7.3088,-19.8100,-13.7900,31.4300
3956,-0.0756,-2.9197,7.3908,8.0500,-17.2900,23.5900
3976,0.0195,-2.8065,7.3844,17.7100,-23.3100,15.2600
